sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-03-01;88,34;88,38;90,02;91,24;88,20;88,32;89,381;5334684;476905936,04;8738;
2022-02-28;90,90;90,92;88,90;91,20;88,02;90,80;90,012;7227488;650368686,6;9814;
2022-02-25;91,06;91,10;89,02;91,50;87,92;91,10;90,09;5905830;532050304,5;9607;
2022-02-24;88,26;88,30;89,64;90,94;87,04;88,14;88,705;7421916;658354173,1;12717;
2022-02-23;93,12;93,16;93,30;94,20;92,66;93,00;93,346;4162665;388451092;5855;
2022-02-22;93,34;93,38;92,20;94,38;91,00;93,46;93,419;3833460;358402245,08;6716;
2022-02-21;94,46;94,50;95,74;95,88;92,70;94,30;94,16;3903977;367645304,46;6171;
2022-02-18;95,54;95,58;95,60;96,02;95,04;95,26;95,461;3463287;330618209,53;6064;
2022-02-17;95,64;95,68;97,16;97,40;95,54;95,58;96,012;2855479;274169171,71;5226;
2022-02-16;97,52;97,54;98,30;99,04;97,18;97,36;97,862;2939732;287694323,32;5046;
2022-02-15;98,16;98,18;96,74;98,58;96,60;98,16;98,016;3252805;318825550,32;5204;
2022-02-14;96,94;97,00;96,00;97,60;94,88;96,86;96,392;5358913;516502523,07;9560;
2022-02-11;98,18;98,22;97,50;98,50;97,18;98,14;97,993;4365650;427798379,06;6417;
2022-02-10;98,22;98,26;99,06;99,06;97,60;98,42;98,292;5540566;544588111,85;8948;
2022-02-09;99,38;99,42;99,00;100,80;96,78;99,16;98,909;8755531;866193792,59;15305;
2022-02-08;101,45;101,50;100,45;101,90;100,10;101,35;101,369;3134009;317699547,05;4683;
2022-02-07;100,40;100,50;99,68;100,70;99,24;100,45;100,244;3042651;305003808,09;4349;
2022-02-04;98,68;98,70;101,20;101,40;98,02;98,68;98,928;3775684;373528714,52;6062;
2022-02-03;100,80;100,90;101,35;101,60;99,98;101,00;100,77;4469587;450405506,23;6722;
2022-02-02;101,10;101,15;101,50;101,75;100,70;101,30;101,24;3298160;333901271,66;4610;
